Year,GSub,SJQ,DA_RCHG,SA_IRR,REVAP,LARCHRG,Qgw,u,PRK,S,H
2001,15,ZY,1.966,342.2076667,0,14.8555,0,0.159915372,118.228,-211.0901667,-1.320011729
2001,17,ZY,2.7935,371.176,0,20.9145,0,0.179684562,-29.4726,-382.5276,-2.128884061
2001,18,ZY,3.4545,369.8175,0,25.477,0,0.121130919,7.7783,-340.0167,-2.807018248
2001,21,ZY,2.3445,344.5525,0,26.8275,0,0.119070526,18.486,-301.5835,-2.53281404
2001,3,ZY,1.817333333,363.7486667,0,63.1815,0,0.133045631,11.36009,-291.02441,-2.187402982
2001,4,ZY,3.74625,418.41625,0,5.694,0,0.127988212,161.345,-255.1235,-1.993335918
2001,5,ZY,2.054,364.012,0,39.055,0,0.1625366,11.78064,-315.23036,-1.939442316
2001,6,ZY,8.406,429.883,0,7.6285,0,0.160806351,168.032,-262.6285,-1.633197311
2001,8,ZY,2.914,327.5733333,0,23.068,0,0.149415561,42.08,-265.3393333,-1.775848054
2001,9,ZY,2.335,363.0033333,0,37.4855,0,0.082977289,-33.7154,-361.5682333,-4.357436085
2002,10,ZY,3.960333333,365.729,0,3.212,0,0.138979427,49.0119,-317.4654333,-2.284262068
2002,13,ZY,4.731666667,369.5526667,0,27.2655,0,0.125555889,128.891965,-218.1268684,-1.737289028
2002,15,ZY,2.453333333,371.2173333,0,14.8555,0,0.159915372,208.84,-149.9751666,-0.937840839
2002,17,ZY,1.896,371.1745,0,20.9145,0,0.179684562,108.2797536,-243.8762464,-1.35724652
2002,18,ZY,2.011,369.761,0,25.477,0,0.121130919,88.80997078,-257.4850292,-2.12567552
2002,21,ZY,2.9765,467.2995,0,26.8275,0,0.119070526,124.6783273,-318.7701727,-2.677154317
2002,3,ZY,3.264333333,325.7963333,0,63.1815,0,0.133045631,243.5478,-22.33136663,-0.167847425
2002,4,ZY,4.7445,544.17,0,5.694,0,0.127988212,176.588,-366.6325,-2.864580216
2002,5,ZY,2.511333333,326.0376667,0,39.055,0,0.1625366,101.9889,-187.5051,-1.153617708
2002,6,ZY,7.3735,429.862,0,7.6285,0,0.160806351,118.6047,-311.0023,-1.934017519
2002,8,ZY,2.706333333,327.6056667,0,23.068,0,0.149415561,67.0452,-240.1988,-1.607588918
2002,9,ZY,2.238666667,362.9943333,0,37.4855,0,0.082977289,137.64057,-190.10693,-2.291071837
2003,10,ZY,5.117666667,327.5866667,0,3.212,0,0.138979427,181.2416,-148.2507334,-1.066709919
2003,13,ZY,6.050333333,340.6196667,0,27.2655,0,0.125555889,306.801,-12.60350003,-0.100381592
2003,15,ZY,3.905333333,342.2036667,0,14.8555,0,0.159915372,305.78,-25.47350003,-0.15929363
