Year,SJQ,GSub,DA_RCHG,SA_IRR,REVAP,LARCHRG,Qgw,u
2004,ZY,4,4.63025,418.2615,0,5.694,0,0.127988212
2004,ZY,5,5.196666667,326.0876667,0,39.055,0,0.1625366
2004,ZY,6,9.8925,429.834,0,7.6285,0,0.160806351
2004,ZY,8,5.307,327.6046667,0,23.068,0,0.149415561
2004,ZY,9,5.362,325.0763333,0,37.4855,0,0.082977289
2004,ZY,10,2.443,327.6403333,0,3.212,0,0.138979427
2004,ZY,13,9.404333333,340.4836667,0,27.2655,0,0.125555889
2004,ZY,15,3.579666667,332.2146667,0,14.8555,0,0.159915372
2004,ZY,17,3.382,342.1515,0,20.9145,0,0.179684562
2004,ZY,18,3.928,340.7595,0,25.477,0,0.121130919
2004,ZY,21,3.4075,334.076,0,26.8275,0,0.119070526
2005,ZY,3,3.272333333,318.767,0,63.1815,0,0.133045631
2005,ZY,4,6.9685,473.09825,0,5.694,0,0.127988212
2005,ZY,5,2.800666667,326.1456667,0,39.055,0,0.1625366
2005,ZY,6,9.672,418.8175,0,7.6285,0,0.160806351
2005,ZY,8,2.504666667,320.6246667,0,23.068,0,0.149415561
2005,ZY,9,2.849666667,325.1056667,0,37.4855,0,0.082977289
2005,ZY,10,1.273666667,320.6176667,0,3.212,0,0.138979427
2005,ZY,13,4.566666667,340.315,0,27.2655,0,0.125555889
2005,ZY,15,1.448666667,381.2493333,0,14.8555,0,0.159915372
2005,ZY,17,1.7425,342.151,0,20.9145,0,0.179684562
2005,ZY,18,1.729,340.748,0,25.477,0,0.121130919
2005,ZY,21,2.4125,383.347,0,26.8275,0,0.119070526
2006,ZY,3,1.842333333,372.7516667,0,63.1815,0,0.133045631
2006,ZY,4,4.14725,543.95625,0,5.694,0,0.127988212
2006,ZY,5,1.713666667,364.2256667,0,39.055,0,0.1625366
2006,ZY,6,5.4015,484.7705,0,7.6285,0,0.160806351
2006,ZY,8,1.928,374.9086667,0,23.068,0,0.149415561
2006,ZY,9,3.485333333,325.1146667,0,37.4855,0,0.082977289
2006,ZY,10,1.382666667,374.917,0,3.212,0,0.138979427
2006,ZY,13,4.132333333,340.249,0,27.2655,0,0.125555889
2006,ZY,15,2.466666667,342.211,0,14.8555,0,0.159915372
2006,ZY,17,2.6325,464.2025,0,20.9145,0,0.179684562
2006,ZY,18,2.5075,462.2775,0,25.477,0,0.121130919
2006,ZY,21,2.5475,373.193,0,26.8275,0,0.119070526
